,vidname,real,predict0,predict1
0,002688,0,83.61,16.39
1,002482,0,79.41,20.59
2,001451,0,76.97,23.03
3,002644,0,75.47,24.53
4,002449,0,75.2,24.8
5,001862,0,85.78,14.22
6,000375,0,81.71,18.29
7,000140,0,80.23,19.77
8,001066,0,79.29,20.71
9,000975,0,78.47,21.53
10,002880,0,84.9,15.1
11,001853,0,75.72,24.28
12,000182,0,77.28,22.72
13,002289,0,79.81,20.19
14,001057,0,73.9,26.1
15,002626,0,82.17,17.83
16,000515,0,75.61,24.39
17,000576,0,77.9,22.1
18,002221,0,80.86,19.14
19,000911,0,82.28,17.72
20,001653,0,72.61,27.39
21,000124,0,73.82,26.18
22,002228,0,77.76,22.24
23,000345,0,78.6,21.4
24,000942,0,79.39,20.61
25,000525,0,79.01,20.99
26,002047,0,81.77,18.23
27,002611,0,76.27,23.73
28,002797,0,81.88,18.12
29,000034,0,84.87,15.13
30,000662,0,77.46,22.54
31,002307,0,76.25,23.75
32,001318,0,82.02,17.98
33,000806,0,78.9,21.1
34,000698,0,75.7,24.3
35,000654,0,67.82,32.18
36,001329,0,81.52,18.48
37,001927,0,76.48,23.52
38,002701,0,80.58,19.42
39,000263,0,72.73,27.27
40,000435,0,81.99,18.01
41,002998,0,80.72,19.28
42,002396,0,73.71,26.29
43,000631,0,79.05,20.95
44,002962,0,72.15,27.85
45,001146,0,77.49,22.51
46,002353,0,78.22,21.78
47,002566,0,82.05,17.95
48,000003,0,78.66,21.34
49,002592,0,73.73,26.27
50,001125,0,74.0,26.0
51,001541,0,70.68,29.32
52,000458,0,78.52,21.48
53,001328,0,83.32,16.68
54,002753,0,82.87,17.13
55,001780,0,75.78,24.22
56,000807,0,75.76,24.24
57,001742,0,73.19,26.81
58,000664,0,79.88,20.12
59,002301,0,73.86,26.14
60,000456,0,83.15,16.85
61,000200,0,75.27,24.73
62,002930,0,71.53,28.47
63,002306,0,79.13,20.87
64,001548,0,72.67,27.33
65,002963,0,74.25,25.75
66,000059,0,72.14,27.86
67,000092,0,74.61,25.39
68,001140,0,82.85,17.15
69,001975,0,75.75,24.25
70,000639,0,79.47,20.53
71,000296,0,73.83,26.17
72,000898,0,82.74,17.26
73,000434,0,81.98,18.02
74,002169,0,77.63,22.37
75,001185,0,83.5,16.5
76,001515,0,77.05,22.95
77,000411,0,82.17,17.83
78,001154,0,79.72,20.28
79,001530,0,77.66,22.34
80,000416,0,78.02,21.98
81,000072,0,80.02,19.98
82,000240,0,80.19,19.81
83,001957,0,80.13,19.87
84,002970,0,82.19,17.81
85,000276,0,78.09,21.91
86,002979,0,82.96,17.04
87,000420,0,71.09,28.91
88,001961,0,81.61,18.39
89,000285,0,84.29,15.71
90,001165,0,77.57,22.43
91,002384,0,77.97,22.03
92,000840,0,79.79,20.21
93,002941,0,83.19,16.81
94,001368,0,79.38,20.62
95,001599,0,71.42,28.58
96,002778,0,81.08,18.92
97,001552,0,76.75,23.25
98,001136,0,78.98,21.02
99,000646,0,75.78,24.22
100,002588,0,76.46,23.54
101,000019,0,69.76,30.24
102,002118,0,75.07,24.93
103,000670,0,72.88,27.12
104,002543,0,74.56,25.44
105,000026,0,83.25,16.75
106,002771,0,76.96,23.04
107,002544,0,68.6,31.4
108,001597,0,73.29,26.71
109,000683,0,84.17,15.83
110,001958,0,80.3,19.7
111,000426,0,82.32,17.68
112,001190,0,77.9,22.1
113,001369,0,78.68,21.32
114,001735,0,81.1,18.9
115,002947,0,78.52,21.48
116,000241,0,76.63,23.37
117,002724,0,76.95,23.05
118,001152,0,78.47,21.53
119,002378,0,76.42,23.58
120,001750,0,73.74,26.26
121,002313,0,78.58,21.42
122,000824,0,79.35,20.65
123,002119,0,74.2,25.8
124,002589,0,72.46,27.54
125,000011,0,78.73,21.27
126,000475,0,80.89,19.11
