,vidname,real,predict0,predict1
0,002688,0,85.29,14.71
1,002482,0,85.19,14.81
2,001451,0,73.15,26.85
3,002644,0,79.75,20.25
4,002449,0,81.62,18.38
5,001862,0,81.91,18.09
6,000375,0,85.31,14.69
7,000140,0,85.33,14.67
8,001066,0,84.33,15.67
9,000975,0,85.26,14.74
10,002880,0,86.4,13.6
11,001853,0,59.57,40.43
12,000182,0,65.72,34.28
13,002289,0,81.0,19.0
14,001057,0,72.94,27.06
15,002626,0,85.52,14.48
16,000515,0,84.91,15.09
17,000576,0,85.09,14.91
18,002221,0,71.85,28.15
19,000911,0,84.75,15.25
20,001653,0,71.83,28.17
21,000124,0,77.3,22.7
22,002228,0,63.78,36.22
23,000345,0,82.19,17.81
24,000942,0,81.95,18.05
25,000525,0,77.7,22.3
26,002047,0,83.49,16.51
27,002611,0,67.01,32.99
28,002797,0,84.97,15.03
29,000034,0,85.69,14.31
30,000662,0,85.3,14.7
31,002307,0,83.68,16.32
32,001318,0,85.3,14.7
33,000806,0,58.25,41.75
34,000698,0,84.3,15.7
35,000654,0,85.31,14.69
36,001329,0,82.42,17.58
37,001927,0,82.53,17.47
38,002701,0,82.4,17.6
39,000263,0,79.42,20.58
40,000435,0,85.33,14.67
41,002998,0,63.99,36.01
42,002396,0,79.61,20.39
43,000631,0,83.73,16.27
44,002962,0,82.06,17.94
45,001146,0,62.97,37.03
46,002353,0,85.24,14.76
47,002566,0,85.36,14.64
48,000003,0,81.34,18.66
49,002592,0,84.7,15.3
50,001125,0,69.43,30.57
51,001541,0,55.9,44.1
52,000458,0,82.07,17.93
53,001328,0,71.53,28.47
54,002753,0,85.49,14.51
55,001780,0,85.35,14.65
56,000807,0,72.72,27.28
57,001742,0,85.21,14.79
58,000664,0,85.36,14.64
59,002301,0,81.04,18.96
60,000456,0,85.83,14.17
61,000200,0,84.97,15.03
62,002930,0,76.99,23.01
63,002306,0,85.13,14.87
64,001548,0,79.43,20.57
65,002963,0,79.56,20.44
66,000059,0,84.44,15.56
67,000092,0,84.43,15.57
68,001140,0,85.76,14.24
69,001975,0,85.47,14.53
70,000639,0,80.59,19.41
71,000296,0,82.04,17.96
72,000898,0,85.58,14.42
73,000434,0,85.34,14.66
74,002169,0,85.23,14.77
75,001185,0,71.24,28.76
76,001515,0,81.63,18.37
77,000411,0,74.39,25.61
78,001154,0,84.07,15.93
79,001530,0,84.83,15.17
80,000416,0,69.56,30.44
81,000072,0,82.36,17.64
82,000240,0,60.06,39.94
83,001957,0,85.48,14.52
84,002970,0,84.88,15.12
85,000276,0,83.39,16.61
86,002979,0,85.43,14.57
87,000420,0,56.96,43.04
88,001961,0,85.4,14.6
