,vidname,real,predict0,predict1
0,002688,0,73.94,26.06
1,002482,0,84.16,15.84
2,001451,0,78.99,21.01
3,002644,0,91.51,8.49
4,002449,0,83.52,16.48
5,001862,0,92.61,7.39
6,000375,0,88.99,11.01
7,000140,0,69.28,30.72
8,001066,0,90.26,9.74
9,000975,0,95.74,4.26
10,002880,0,91.07,8.93
11,001853,0,85.08,14.92
12,000182,0,80.32,19.68
13,002289,0,85.92,14.08
14,001057,0,88.13,11.87
15,002626,0,89.78,10.22
16,000515,0,89.38,10.62
17,000576,0,80.4,19.6
18,002221,0,74.62,25.38
19,000911,0,87.59,12.41
20,001653,0,85.01,14.99
21,000124,0,84.81,15.19
22,002228,0,73.94,26.06
23,000345,0,81.51,18.49
24,000942,0,88.38,11.62
25,000525,0,80.36,19.64
26,002047,0,83.21,16.79
27,002611,0,78.27,21.73
28,002797,0,84.32,15.68
29,000034,0,84.15,15.85
30,000662,0,91.36,8.64
31,002307,0,86.86,13.14
32,001318,0,85.39,14.61
33,000806,0,64.89,35.11
34,000698,0,87.31,12.69
35,000654,0,75.63,24.37
36,001329,0,86.22,13.78
37,001927,0,85.07,14.93
38,002701,0,87.79,12.21
39,000263,0,80.17,19.83
40,000435,0,85.62,14.38
41,002998,0,83.25,16.75
42,002396,0,86.2,13.8
43,000631,0,83.45,16.55
44,002962,0,91.1,8.9
45,001146,0,83.31,16.69
46,002353,0,87.79,12.21
47,002566,0,84.37,15.63
48,000003,0,80.49,19.51
49,002592,0,90.31,9.69
50,001125,0,87.13,12.87
51,001541,0,84.27,15.73
52,000458,0,84.14,15.86
53,001328,0,85.01,14.99
54,002753,0,89.64,10.36
55,001780,0,89.89,10.11
56,000807,0,67.1,32.9
57,001742,0,89.66,10.34
58,000664,0,90.82,9.18
59,002301,0,83.23,16.77
60,000456,0,90.09,9.91
61,000200,0,70.37,29.63
62,002930,0,89.48,10.52
63,002306,0,89.59,10.41
64,001548,0,96.19,3.81
65,002963,0,86.01,13.99
66,000059,0,86.92,13.08
67,000092,0,93.21,6.79
68,001140,0,90.07,9.93
69,001975,0,91.04,8.96
70,000639,0,88.76,11.24
71,000296,0,88.24,11.76
72,000898,0,87.88,12.12
73,000434,0,84.75,15.25
74,002169,0,90.57,9.43
75,001185,0,74.4,25.6
76,001515,0,85.07,14.93
77,000411,0,79.71,20.29
78,001154,0,89.49,10.51
79,001530,0,89.3,10.7
80,000416,0,79.88,20.12
81,000072,0,92.31,7.69
82,000240,0,78.32,21.68
83,001957,0,91.14,8.86
84,002970,0,91.03,8.97
85,000276,0,91.04,8.96
86,002979,0,90.93,9.07
87,000420,0,71.26,28.74
88,001961,0,90.47,9.53
89,000285,0,84.11,15.89
90,001165,0,87.42,12.58
91,002384,0,90.96,9.04
92,000840,0,92.12,7.88
93,002941,0,91.06,8.94
94,001368,0,85.34,14.66
95,001599,0,81.63,18.37
96,002778,0,90.77,9.23
97,001552,0,89.97,10.03
98,001136,0,91.01,8.99
99,000646,0,91.09,8.91
100,002588,0,88.12,11.88
101,000019,0,82.66,17.34
102,002118,0,88.19,11.81
103,000670,0,91.06,8.94
104,002543,0,87.47,12.53
105,000026,0,84.1,15.9
106,002771,0,91.08,8.92
107,002544,0,81.01,18.99
108,001597,0,84.82,15.18
109,000683,0,85.31,14.69
110,001958,0,91.44,8.56
111,000426,0,85.08,14.92
112,001190,0,90.25,9.75
113,001369,0,89.08,10.92
114,001735,0,78.05,21.95
115,002947,0,90.8,9.2
116,000241,0,87.06,12.94
117,002724,0,82.34,17.66
118,001152,0,94.09,5.91
119,002378,0,89.87,10.13
120,001750,0,85.95,14.05
121,002313,0,89.61,10.39
122,000824,0,85.22,14.78
123,002119,0,78.01,21.99
124,002589,0,86.65,13.35
125,000011,0,86.78,13.22
126,000475,0,86.37,13.63
127,001761,0,89.92,10.08
128,000481,0,91.28,8.72
129,000029,0,84.56,15.44
130,002914,0,84.26,15.74
131,001554,0,91.04,8.96
132,001766,0,84.14,15.86
133,000164,0,90.06,9.94
134,000500,0,89.07,10.93
135,001270,0,86.78,13.22
136,000993,0,86.68,13.32
137,000197,0,86.1,13.9
138,001277,0,89.32,10.68
139,001613,0,87.07,12.93
140,001846,0,89.19,10.81
141,000538,0,89.22,10.78
142,002861,0,82.14,17.86
143,001073,0,87.07,12.93
144,000393,0,86.79,13.21
145,001870,0,88.78,11.22
146,002259,0,91.06,8.94
147,002605,0,87.02,12.98
148,001622,0,90.93,9.07
149,000509,0,91.61,8.39
150,002098,0,91.02,8.98
151,000562,0,83.57,16.43
152,001212,0,69.61,30.39
153,000768,0,90.43,9.57
154,002669,0,67.44,32.56
155,001027,0,89.97,10.03
156,000333,0,90.97,9.03
